"Territorial emissions in MtCO₂"
;EU28;World;China;"United States of America"
1960;2645.1884;9410.5298;778.9795;2887.8204
1961;2739.4012;9452.1077;550.9585;2877.3698
1962;2898.2039;9838.2021;439.3421;2984.0017
1963;3096.1111;10379.068;435.5176;3116.0224
1964;3211.2394;10969.3251;435.7037;3252.7552
1965;3269.236;11466.1502;474.6806;3388.1927
1966;3324.3221;12045.5559;521.4589;3559.1792
1967;3359.6221;12431.0094;432.2236;3693.2982
1968;3545.7508;13063.4496;467.8056;3828.3061
1969;3768.941;13846.4273;575.9447;4021.5026
1970;3940.2237;14845.815;770.1672;4325.5008
1971;4031.1005;15409.7176;874.0164;4351.3087
1972;4145.6879;16023.9908;928.894;4558.4526
1973;4340.5579;16893.3614;965.6466;4762.4522
1974;4278.3988;16923.5787;985.0852;4592.9583
1975;4176.7062;16825.641;1142.1019;4400.795
1976;4464.2837;17800.9724;1190.9645;4607.1682
1977;4422.4613;18355.4392;1304.4028;4735.3663
1978;4555.2832;18561.6989;1455.2575;4882.964
1979;4724.4993;19594.2288;1487.1131;4894.0429
1980;4619.0847;19388.0944;1458.8867;4716.7164
1981;4388.2249;18787.1226;1442.7823;4530.3698
1982;4284.7793;18624.0757;1570.4683;4301.9707
1983;4241.6611;18549.448;1655.8105;4335.9166
1984;4254.7596;19216.866;1802.3171;4468.262
1985;4341.6387;19792.6218;1951.7732;4484.3382
1986;4340.9984;20395.9495;2052.242;4487.8558
1987;4382.6172;20912.4135;2191.053;4680.8341
1988;4338.4472;21681.1093;2347.7635;4885.5905
1989;4396.9674;22154.3357;2386.885;4948.0212
1990;4479.3289;22181.8074;2420.3021;5121.2645
1991;4423.0245;22429.3774;2538.924;5070.8394
1992;4278.9581;22195.1051;2657.1124;5174.0591
1993;4194.9737;22153.1431;2835.7955;5284.6879
1994;4174.4997;22533.833;3010.2422;5377.9871
1995;4221.4647;23007.4254;3265.057;5439.2133
1996;4325.0739;23522.9791;3408.3466;5626.1867
1997;4235.9323;23915.3294;3414.5493;5703.8907
1998;4228.9864;23984.9839;3265.9026;5752.3242
1999;4164.1472;23930.5615;3258.1349;5832.2502
2000;4187.3341;24558.6911;3349.2948;6000.6061
2001;4259.4002;25137.9997;3426.1441;5902.455
2002;4235.8145;25494.1906;3782.4393;5943.6513
2003;4327.7817;26866.7384;4452.3103;5991.3196
2004;4337.9729;28187.5989;5125.8944;6106.6207
2005;4314.6397;29254.9064;5771.1684;6132.0057
2006;4320.4097;30286.8364;6377.748;6052.2363
2007;4274.4088;30880.1453;6861.7507;6130.9836
2008;4173.8625;31875.7558;7375.1899;5932.7753
2009;3831.8294;31523.143;7758.8118;5495.395
2010;3951.2626;33066.6512;8500.5427;5701.0758
2011;3805.9612;34357.3659;9388.1992;5570.7066
2012;3747.2409;34919.2887;9633.8993;5366.7303
2013;3659.2409;35207.886;9796.5272;5519.6126
2014;3490.3832;35505.827;9820.3605;5568.7593
2015;3523.4918;35462.7467;9716.4678;5420.8041
2016;3503.0312;35675.0994;9704.4794;5310.8614
2017;3543.6835;36153.2616;9838.754;5269.5295

Sources
Territorial;"<p><b>CDIAC:</b> Boden, TA, Marland, G and Andres, RJ 2017. Global, Regional, and National Fossil-Fuel CO2 Emissions, Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tenn., USA. DOI: 10.3334/CDIAC/00001_V2017. Available at: <a href=""http://cdiac.ess-dive.lbl.gov/trends/emis/meth_reg.html"" target=""_blank"">http://cdiac.ess-dive.lbl.gov/trends/emis/meth_reg.html</a>
<br /><br />
<b>UNFCCC, 2017. </b> National Inventory Submissions 2017. United Nations Framework Convention on Climate Change. Available at: </b><a href=""http://unfccc.int/national_reports/annex_i_ghg_inventories/national_inventories_submissions/items/9492.php""_blank"">http://unfccc.int/national_reports/annex_i_ghg_inventories/national_inventories_submissions/items/9492.php</a>, accessed June 2017.
<br /><br />
<b>BP, 2017.</b> Statistical Review of World Energy. Available at: </b><a href=""http://www.bp.com/en/global/corporate/energy-economics.html""_blank"">http://www.bp.com/en/global/corporate/energy-economics.html</a>
<br /><br />
The use of data is conditional on citing the original data sources. Data for years 2015 and 2016 are preliminary."
