"Territorial emissions in MtCO₂"
;EU28;World;China;"United States of America"
1960;2649.0142;9344.0216;778.9795;2887.8204
1961;2743.3627;9365.8552;550.9585;2877.3698
1962;2902.3891;9698.2325;439.3421;2984.0017
1963;3100.6135;10247.4968;435.5176;3116.0224
1964;3216.0358;10780.6074;435.7038;3252.7552
1965;3274.3321;11281.3759;474.6806;3388.1927
1966;3329.7161;11805.9796;521.4589;3559.1792
1967;3365.2939;12183.8428;432.2236;3693.2982
1968;3551.6081;12848.8277;467.8056;3828.3061
1969;3775.062;13704.6171;575.9447;4021.5026
1970;3946.6682;14839.6594;770.1672;4325.5008
1971;4037.9504;15439.0699;874.0163;4351.3087
1972;4152.9186;16156.6982;928.894;4558.4526
1973;4348.1139;17015.2532;965.6466;4762.4522
1974;4286.2686;16941.6853;985.0852;4592.9583
1975;4184.9918;16920.2065;1142.1019;4400.795
1976;4472.8815;17817.8779;1190.9646;4607.1682
1977;4431.3621;18307.063;1304.4028;4735.3663
1978;4564.5226;18977.7661;1455.2575;4882.964
1979;4733.7988;19483.8488;1487.113;4894.0429
1980;4628.7365;19390.7153;1458.8867;4716.7164
1981;4397.7191;18864.1828;1442.7824;4530.3698
1982;4294.4577;18724.147;1570.4683;4301.9707
1983;4251.4699;18901.6535;1655.8105;4335.9166
1984;4264.6316;19451.6778;1802.3171;4468.2621
1985;4352.2056;20144.6111;1951.7732;4484.3382
1986;4351.5864;20431.4425;2052.2421;4487.8559
1987;4388.3245;21093.8343;2191.053;4680.8341
1988;4344.1389;21900.7095;2347.7635;4885.5905
1989;4395.3883;22230.6842;2386.8851;4948.0212
1990;4471.348;22717.5399;2420.3021;5121.1794
1991;4418.8983;23190.9531;2538.924;5071.5639
1992;4273.9488;22466.4254;2657.1124;5174.6706
1993;4191.4789;22716.3506;2835.7955;5281.3866
1994;4173.39;22877.8193;3010.2422;5375.0338
1995;4218.8167;23371.5627;3265.057;5436.698
1996;4322.1521;24099.5564;3408.3466;5625.0419
1997;4234.2575;24236.8931;3414.5493;5701.9209
1998;4227.2682;24149.8358;3265.9026;5749.8931
1999;4161.5796;24456.5191;3258.1349;5829.52
2000;4183.5075;25154.3596;3349.2948;5997.2989
2001;4254.3677;25364.4823;3426.1441;5899.8555
2002;4232.4973;25919.4139;3782.4393;5942.4214
2003;4322.7549;27167.9618;4452.3103;5991.1909
2004;4332.4346;28444.3576;5125.8944;6105.4441
2005;4309.1182;29401.0998;5771.1684;6130.5524
2006;4313.6076;30375.6768;6377.748;6050.3846
2007;4263.5644;31282.1415;6861.7507;6127.8882
2008;4164.658;31994.3979;7375.1899;5928.2563
2009;3827.463;31532.2668;7758.8118;5493.5479
2010;3943.7119;33151.1899;8500.5427;5700.1083
2011;3798.9183;34271.5397;9388.1992;5572.5848
2012;3740.1443;34793.0897;9633.8993;5371.7772
2013;3652.8122;34959.4272;9796.5272;5522.9084
2014;3483.4058;35224.8378;9820.3605;5572.1063
2015;3517.1461;35238.6409;9716.4678;5422.9657
2016;3500.0265;35379.6838;9704.4794;5306.6625
2017;3518.0438;35810.4976;9838.754;5270.7485
2018;3444.8757;36572.7542;10064.6857;5416.2779

Sources
Territorial;"Cite as: Gilfillan et al. (2019), UNFCCC (2019), BP (2019)

CDIAC:
Gilfillan, D., Marland, G., Boden, T., and R. Andres, 2019. Global, Regional, and National Fossil-Fuel CO2 Emissions. Carbon Dioxide Information Analysis Center at Appalachian State University, Boone North Carolina. Available at: <a href=""https://energy.appstate.edu/research/work-areas/cdiac-appstate"" target=""_blank"">https://energy.appstate.edu/research/work-areas/cdiac-appstate</a>, last access: 27 September 2019.

UNFCCC, 2019.
National Inventory Submissions 2019. United Nations Framework Convention on Climate Change. Available at:
<a href=""https://unfccc.int/process-and-meetings/transparency-and-reporting/reporting-and-review-under-the-convention/greenhouse-gas-inventories-annex-i-parties/national-inventory-submissions-2019"" target=""_blank"">https://unfccc.int/process-and-meetings/transparency-and-reporting/reporting-and-review-under-the-convention/greenhouse-gas-inventories-annex-i-parties/national-inventory-submissions-2019</a>, accessed June 2019.

BP, 2019. Statistical Review of World Energy. Available at: <a href=""https://www.bp.com/en/global/corporate/energy-economics/statistical-review-of-world-energy.html"" target=""_blank"">https://www.bp.com/en/global/corporate/energy-economics/statistical-review-of-world-energy.html</a>, last access June 2019.

The use of data is conditional on citing the original data sources. Data for years 2017 and 2018 are preliminary.

METHODS

The 1959-2016 estimates for fossil fuels and industry are from <a href=""https://energy.appstate.edu/research/work-areas/cdiac-appstate"" target=""_blank"">Gilfillan et al. 2019.</a>

We modify these data as follows: 

Where available (42 countries) the national estimates reported to the <a href=""https://unfccc.int/process-and-meetings/transparency-and-reporting/reporting-and-review-under-the-convention/greenhouse-gas-inventories-annex-i-parties/national-inventory-submissions-2019"" target=""_blank"">UNFCCC (2019)</a> during 1990-2017 are used instead of CDIAC data.
Emissions for Norway during 1973–1989 are overwritten using superior data derived from local sources, see in <a href="" https://doi.org/10.5194/essd-2019-183"" target=""_blank""> Friedlingstein et al. 2019.</a>
Data from the 2017 edition of CDIAC, from <a href=""http://cdiac.ess-dive.lbl.gov/trends/emis/meth_reg.html"" target=""_blank"">Boden et al. 2017,</a> are used for China and Saudi Arabia.
Cement emissions are taken from <a href=""https://www.earth-syst-sci-data.net/11/1675/2019/"" target=""_blank""> Andrew 2019.</a>

The 2017 and 2018 estimates (or just 2018 where UNFCCC data are available) are preliminary and based on energy statistics published by BP (2019)."
