"Territorial emissions in MtCO₂"
;EU28;World;Austria;China;France;Germany;Italy;Switzerland;"United States of America"
1960;2645.1884;9410.5298;30.7845;778.9795;271.3608;813.9502;109.2031;19.4949;2887.8204
1961;2739.4012;9452.1077;31.824;550.9585;281.3733;834.8396;124.3749;20.3573;2877.3698
1962;2898.2039;9838.2021;33.865;439.3421;298.8665;883.1686;146.255;24.1197;2984.0017
1963;3096.1111;10379.068;36.9491;435.5176;334.2264;945.498;164.5562;29.0667;3116.0224
1964;3211.2394;10969.3251;38.8964;435.7037;345.5381;968.9175;175.7211;28.1257;3252.7552
1965;3269.236;11466.1502;38.1406;474.6806;352.1116;960.1022;189.5284;30.3289;3388.1927
1966;3324.3221;12045.5559;39.2086;521.4589;347.6048;951.422;213.9823;31.4856;3559.1792
1967;3359.6221;12431.0094;39.9156;432.2236;372.4753;936.2294;234.1297;32.5194;3693.2982
1968;3545.7508;13063.4496;42.2971;467.8056;385.101;984.7908;249.1722;35.9813;3828.3061
1969;3768.941;13846.4273;44.6384;575.9447;413.7595;1052.0008;269.661;38.047;4021.5026
1970;3940.2237;14845.815;50.6317;770.1672;439.6251;1026.0223;296.3645;40.2443;4325.5008
1971;4031.1005;15409.7176;52.0692;874.0164;463.1427;1037.2361;311.0492;41.8879;4351.3087
1972;4145.6879;16023.9908;56.0713;928.894;481.6113;1041.4795;328.2375;42.9158;4558.4526
1973;4340.5579;16893.3614;60.0158;965.6466;517.5783;1085.7363;353.3492;46.2024;4762.4522
1974;4278.3988;16923.5787;57.2945;985.0852;500.0189;1062.7243;358.2531;41.4268;4592.9583
1975;4176.7062;16825.641;54.2141;1142.1019;447.806;1002.4439;341.0526;39.0511;4400.795
1976;4464.2837;17800.9724;58.2043;1190.9645;506.6836;1090.8366;365.7957;40.4371;4607.1682
1977;4422.4613;18355.4392;55.9942;1304.4028;481.9868;1052.6041;354.4179;41.0377;4735.3663
