year,label,value
1960,Schweiz,3.6810
1960,Deutschland,11.0871
1960,Frankreich,5.9165
1960,Italien,2.1954
1960,Österreich,4.3538
1961,Schweiz,3.7745
1961,Deutschland,11.2926
1961,Frankreich,6.0548
1961,Italien,2.4828
1961,Österreich,4.4752
1962,Schweiz,4.3830
1962,Deutschland,11.8563
1962,Frankreich,6.3425
1962,Italien,2.8969
1962,Österreich,4.7318
1963,Schweiz,5.1737
1963,Deutschland,12.5932
1963,Frankreich,6.9949
1963,Italien,3.2327
1963,Österreich,5.1276
1964,Schweiz,4.9090
1964,Deutschland,12.8035
1964,Frankreich,7.1388
1964,Italien,3.4239
1964,Österreich,5.3605
1965,Schweiz,5.2023
1965,Deutschland,12.5905
1965,Frankreich,7.1930
1965,Italien,3.6639
1965,Österreich,5.2211
1966,Schweiz,5.3213
1966,Deutschland,12.3857
1966,Frankreich,7.0349
1966,Italien,4.1059
1966,Österreich,5.3329
1967,Schweiz,5.4274
1967,Deutschland,12.1034
1967,Frankreich,7.4806
1967,Italien,4.4606
1967,Österreich,5.3961
1968,Schweiz,5.9411
1968,Deutschland,12.6512
1968,Frankreich,7.6825
1968,Italien,4.7146
1968,Österreich,5.6854
1969,Schweiz,6.2222
1969,Deutschland,13.4433
1969,Frankreich,8.1987
1969,Italien,5.0676
1969,Österreich,5.9682
1970,Schweiz,6.5233
1970,Deutschland,13.0582
1970,Frankreich,8.6466
1970,Italien,5.5314
1970,Österreich,6.7363
1971,Schweiz,6.7326
1971,Deutschland,13.1651
1971,Frankreich,9.0328
1971,Italien,5.7655
1971,Österreich,6.8963
1972,Schweiz,6.8445
1972,Deutschland,13.1997
1972,Frankreich,9.3083
1972,Italien,6.0426
1972,Österreich,7.3962
1973,Schweiz,7.3204
1973,Deutschland,13.7546
1973,Frankreich,9.9130
1973,Italien,6.4618
1973,Österreich,7.8895
1974,Schweiz,6.5331
1974,Deutschland,13.4663
1974,Frankreich,9.4977
1974,Italien,6.5111
1974,Österreich,7.5128
1975,Schweiz,6.1438
1975,Deutschland,12.7106
1975,Frankreich,8.4475
1975,Italien,6.1639
1975,Österreich,7.0982
1976,Schweiz,6.3628
1976,Deutschland,13.8441
1976,Frankreich,9.5070
1976,Italien,6.5786
1976,Österreich,7.6176
1977,Schweiz,6.4716
1977,Deutschland,13.3746
1977,Frankreich,9.0064
1977,Italien,6.3464
1977,Österreich,7.3324
1978,Schweiz,6.6708
1978,Deutschland,13.7312
1978,Frankreich,9.4388
1978,Italien,6.6232
1978,Österreich,7.5025
1979,Schweiz,6.3211
1979,Deutschland,14.2487
1979,Frankreich,9.8451
1979,Italien,6.8494
1979,Österreich,8.0497
1980,Schweiz,6.4233
1980,Deutschland,14.0492
1980,Frankreich,9.3618
1980,Italien,6.8493
1980,Österreich,6.8367
1981,Schweiz,6.1451
1981,Deutschland,13.4208
1981,Frankreich,8.3910
1981,Italien,6.6335
1981,Österreich,7.3422
1982,Schweiz,5.7691
1982,Deutschland,13.0314
1982,Frankreich,8.0299
1982,Italien,6.4686
1982,Österreich,7.0461
1983,Schweiz,6.2759
1983,Deutschland,13.0042
1983,Frankreich,7.7338
1983,Italien,6.3057
1983,Österreich,6.7958
1984,Schweiz,6.0978
1984,Deutschland,13.2970
1984,Frankreich,7.3917
1984,Italien,6.4035
1984,Österreich,7.1267
1985,Schweiz,6.1615
1985,Deutschland,13.4347
1985,Frankreich,7.2649
1985,Italien,6.4720
1985,Österreich,7.1396
1986,Schweiz,6.5052
1986,Deutschland,13.4571
1986,Frankreich,6.9549
1986,Italien,6.3648
1986,Österreich,7.0461
1987,Schweiz,6.1550
1987,Deutschland,13.2272
1987,Frankreich,6.7773
1987,Italien,6.6580
1987,Österreich,7.5105
1988,Schweiz,6.1868
1988,Deutschland,13.1329
1988,Frankreich,6.6490
1988,Italien,6.7591
1988,Österreich,6.9121
1989,Schweiz,5.9551
1989,Deutschland,12.8659
1989,Frankreich,6.9347
1989,Italien,7.0867
1989,Österreich,6.9859
1990,Schweiz,6.6161
1990,Deutschland,13.3091
1990,Frankreich,7.0768
1990,Italien,7.7011
1990,Österreich,8.0648
1991,Schweiz,6.8446
1991,Deutschland,12.7566
1991,Frankreich,7.4889
1991,Italien,7.7004
1991,Österreich,8.4784
1992,Schweiz,6.7517
1992,Deutschland,12.0769
1992,Frankreich,7.2777
1992,Italien,7.6800
1992,Österreich,7.7170
1993,Schweiz,6.3272
1993,Deutschland,11.8852
1993,Frankreich,6.9036
1993,Italien,7.5420
1993,Österreich,7.7024
1994,Schweiz,6.1309
1994,Deutschland,11.6199
1994,Frankreich,6.7838
1994,Italien,7.4320
1994,Österreich,7.6996
