year,label,value
1960,China,778.9795
1960,USA,2887.8204
1960,EU28,2645.1884
1960,Andere,3098.5415
1961,China,550.9585
1961,USA,2877.3698
1961,EU28,2739.4012
1961,Andere,3284.3782
1962,China,439.3421
1962,USA,2984.0017
1962,EU28,2898.2039
1962,Andere,3516.6544
1963,China,435.5176
1963,USA,3116.0224
1963,EU28,3096.1111
1963,Andere,3731.4169
1964,China,435.7037
1964,USA,3252.7552
1964,EU28,3211.2394
1964,Andere,4069.6268
1965,China,474.6806
1965,USA,3388.1927
1965,EU28,3269.2360
1965,Andere,4334.0409
1966,China,521.4589
1966,USA,3559.1792
1966,EU28,3324.3221
1966,Andere,4640.5957
1967,China,432.2236
1967,USA,3693.2982
1967,EU28,3359.6221
1967,Andere,4945.8655
1968,China,467.8056
1968,USA,3828.3061
1968,EU28,3545.7508
1968,Andere,5221.5871
1969,China,575.9447
1969,USA,4021.5026
1969,EU28,3768.9410
1969,Andere,5480.0390
1970,China,770.1672
1970,USA,4325.5008
1970,EU28,3940.2237
1970,Andere,5809.9233
1971,China,874.0164
1971,USA,4351.3087
1971,EU28,4031.1005
1971,Andere,6153.2920
1972,China,928.8940
1972,USA,4558.4526
1972,EU28,4145.6879
1972,Andere,6390.9563
1973,China,965.6466
1973,USA,4762.4522
1973,EU28,4340.5579
1973,Andere,6824.7047
1974,China,985.0852
1974,USA,4592.9583
1974,EU28,4278.3988
1974,Andere,7067.1364
1975,China,1142.1019
1975,USA,4400.7950
1975,EU28,4176.7062
1975,Andere,7106.0379
1976,China,1190.9645
1976,USA,4607.1682
1976,EU28,4464.2837
1976,Andere,7538.5560
1977,China,1304.4028
1977,USA,4735.3663
1977,EU28,4422.4613
1977,Andere,7893.2088
1978,China,1455.2575
1978,USA,4882.9640
1978,EU28,4555.2832
1978,Andere,7668.1942
1979,China,1487.1131
1979,USA,4894.0429
1979,EU28,4724.4993
1979,Andere,8488.5735
1980,China,1458.8867
1980,USA,4716.7164
1980,EU28,4619.0847
1980,Andere,8593.4066
1981,China,1442.7823
1981,USA,4530.3698
1981,EU28,4388.2249
1981,Andere,8425.7456
1982,China,1570.4683
1982,USA,4301.9707
1982,EU28,4284.7793
1982,Andere,8466.8574
1983,China,1655.8105
1983,USA,4335.9166
1983,EU28,4241.6611
1983,Andere,8316.0598
1984,China,1802.3171
1984,USA,4468.2620
1984,EU28,4254.7596
1984,Andere,8691.5273
1985,China,1951.7732
1985,USA,4484.3382
1985,EU28,4341.6387
1985,Andere,9014.8717
1986,China,2052.2420
1986,USA,4487.8558
1986,EU28,4340.9984
1986,Andere,9514.8533
1987,China,2191.0530
1987,USA,4680.8341
1987,EU28,4382.6172
1987,Andere,9657.9092
1988,China,2347.7635
1988,USA,4885.5905
1988,EU28,4338.4472
1988,Andere,10109.3081
1989,China,2386.8850
1989,USA,4948.0212
1989,EU28,4396.9674
1989,Andere,10422.4621
1990,China,2420.3021
1990,USA,5121.2645
1990,EU28,4479.3289
1990,Andere,10160.9119
1991,China,2538.9240
1991,USA,5070.8394
1991,EU28,4423.0245
1991,Andere,10396.5895
1992,China,2657.1124
1992,USA,5174.0591
1992,EU28,4278.9581
1992,Andere,10084.9755
1993,China,2835.7955
1993,USA,5284.6879
1993,EU28,4194.9737
1993,Andere,9837.6860
1994,China,3010.2422
1994,USA,5377.9871
1994,EU28,4174.4997
1994,Andere,9971.1040
1995,China,3265.0570
1995,USA,5439.2133
1995,EU28,4221.4647
1995,Andere,10081.6904
