Year,China,USA,EU28,Andere
1960,778.9795,2887.8204,2645.1884,3098.5415000000003
1961,550.9585,2877.3698,2739.4012,3284.378200000001
1962,439.3421,2984.0017,2898.2039,3516.6544000000013
1963,435.5176,3116.0224,3096.1111,3731.416900000001
1964,435.7037,3252.7552,3211.2394,4069.6268
1965,474.6806,3388.1927,3269.236,4334.0409
1966,521.4589,3559.1792,3324.3221,4640.5957
1967,432.2236,3693.2982,3359.6221,4945.8655
1968,467.8056,3828.3061,3545.7508,5221.587100000001
1969,575.9447,4021.5026,3768.941,5480.039000000001
1970,770.1672,4325.5008,3940.2237,5809.9233
1971,874.0164,4351.3087,4031.1005,6153.2919999999995
1972,928.8939999999999,4558.4526,4145.6879,6390.9563
1973,965.6466,4762.4522,4340.5579,6824.704700000002
1974,985.0852,4592.9583,4278.3988,7067.136399999999
1975,1142.1019,4400.795,4176.7062,7106.037899999999
1976,1190.9645,4607.1682,4464.2837,7538.555999999999
1977,1304.4028,4735.3663,4422.4613,7893.2088
1978,1455.2575,4882.964,4555.2832,7668.1942
1979,1487.1131,4894.0429,4724.4993,8488.573499999999
1980,1458.8867,4716.7164,4619.0847,8593.406600000002
1981,1442.7823,4530.3698,4388.2249,8425.745599999998
1982,1570.4683,4301.9707,4284.7793,8466.8574
1983,1655.8105,4335.9166,4241.6611,8316.059799999999
1984,1802.3171,4468.262,4254.7596,8691.527300000002
1985,1951.7732,4484.3382,4341.6387,9014.8717
1986,2052.242,4487.8558,4340.9984,9514.853299999999
1987,2191.053,4680.8341,4382.6172,9657.909199999998
1988,2347.7635,4885.5905,4338.4472,10109.3081
1989,2386.885,4948.0212,4396.9674,10422.462099999999
1990,2420.3021,5121.2645,4479.3289,10160.911900000001
1991,2538.924,5070.8394,4423.0245,10396.589500000002
1992,2657.1124,5174.0591,4278.9581,10084.9755
1993,2835.7955,5284.6879,4194.9737,9837.686000000002
1994,3010.2422,5377.9871,4174.4997,9971.103999999998
1995,3265.0570000000002,5439.2133,4221.4647,10081.6904
1996,3408.3466,5626.1867,4325.0739,10163.371900000002
1997,3414.5493,5703.8907,4235.9323,10560.957099999998
1998,3265.9026,5752.3242,4228.9864,10737.7707
1999,3258.1349,5832.2502,4164.1472,10676.0292
2000,3349.2948,6000.6061,4187.3341,11021.4561
2001,3426.1441,5902.455,4259.4002,11550.0004
2002,3782.4393,5943.6513,4235.8145,11532.285500000002
2003,4452.3103,5991.3196,4327.7817,12095.326799999999
2004,5125.8944,6106.6207,4337.9729,12617.1109
2005,5771.1684,6132.0057,4314.6397,13037.0926
2006,6377.7480000000005,6052.2363,4320.4097,13536.4424
2007,6861.7507,6130.9836,4274.4088,13613.002199999999
2008,7375.1899,5932.7753,4173.8625,14393.928099999997
2009,7758.8118,5495.395,3831.8294,14437.106799999998
2010,8500.5427,5701.0758,3951.2626,14913.770100000002
2011,9388.1992,5570.7066,3805.9612,15592.498899999995
2012,9633.8993,5366.7303,3747.2409,16171.418199999996
2013,9796.5272,5519.6126,3659.2409,16232.505299999997
2014,9820.3605,5568.7593,3490.3832,16626.324000000004
2015,9716.4678,5420.8041,3523.4918,16801.983000000004
2016,9704.4794,5310.8614,3503.0312,17156.7274
2017,9838.754,5269.5295,3543.6835,17501.294599999997
