year,label,value
1960,Schweiz,3.68
1960,Deutschland,11.09
1960,Frankreich,5.92
1960,Italien,2.20
1960,Österreich,4.35
1961,Schweiz,3.77
1961,Deutschland,11.29
1961,Frankreich,6.05
1961,Italien,2.48
1961,Österreich,4.48
1962,Schweiz,4.38
1962,Deutschland,11.86
1962,Frankreich,6.34
1962,Italien,2.90
1962,Österreich,4.73
1963,Schweiz,5.17
1963,Deutschland,12.59
1963,Frankreich,6.99
1963,Italien,3.23
1963,Österreich,5.13
1964,Schweiz,4.91
1964,Deutschland,12.80
1964,Frankreich,7.14
1964,Italien,3.42
1964,Österreich,5.36
1965,Schweiz,5.20
1965,Deutschland,12.59
1965,Frankreich,7.19
1965,Italien,3.66
1965,Österreich,5.22
1966,Schweiz,5.32
1966,Deutschland,12.39
1966,Frankreich,7.03
1966,Italien,4.11
1966,Österreich,5.33
1967,Schweiz,5.43
1967,Deutschland,12.10
1967,Frankreich,7.48
1967,Italien,4.46
1967,Österreich,5.40
1968,Schweiz,5.94
1968,Deutschland,12.65
1968,Frankreich,7.68
1968,Italien,4.71
1968,Österreich,5.69
1969,Schweiz,6.22
1969,Deutschland,13.44
1969,Frankreich,8.20
1969,Italien,5.07
1969,Österreich,5.97
1970,Schweiz,6.52
1970,Deutschland,13.06
1970,Frankreich,8.65
1970,Italien,5.53
1970,Österreich,6.74
1971,Schweiz,6.73
1971,Deutschland,13.17
1971,Frankreich,9.03
1971,Italien,5.77
1971,Österreich,6.90
1972,Schweiz,6.84
1972,Deutschland,13.20
1972,Frankreich,9.31
1972,Italien,6.04
1972,Österreich,7.40
1973,Schweiz,7.32
1973,Deutschland,13.75
1973,Frankreich,9.91
1973,Italien,6.46
1973,Österreich,7.89
1974,Schweiz,6.53
1974,Deutschland,13.47
1974,Frankreich,9.50
1974,Italien,6.51
1974,Österreich,7.51
1975,Schweiz,6.14
1975,Deutschland,12.71
1975,Frankreich,8.45
1975,Italien,6.16
1975,Österreich,7.10
1976,Schweiz,6.36
1976,Deutschland,13.84
1976,Frankreich,9.51
1976,Italien,6.58
1976,Österreich,7.62
1977,Schweiz,6.47
1977,Deutschland,13.37
1977,Frankreich,9.01
1977,Italien,6.35
1977,Österreich,7.33
1978,Schweiz,6.67
1978,Deutschland,13.73
1978,Frankreich,9.44
1978,Italien,6.62
1978,Österreich,7.50
1979,Schweiz,6.32
1979,Deutschland,14.25
1979,Frankreich,9.85
1979,Italien,6.85
1979,Österreich,8.05
1980,Schweiz,6.42
1980,Deutschland,14.05
1980,Frankreich,9.36
1980,Italien,6.85
1980,Österreich,6.84
1981,Schweiz,6.15
1981,Deutschland,13.42
1981,Frankreich,8.39
1981,Italien,6.63
1981,Österreich,7.34
1982,Schweiz,5.77
1982,Deutschland,13.03
1982,Frankreich,8.03
1982,Italien,6.47
1982,Österreich,7.05
1983,Schweiz,6.28
1983,Deutschland,13.00
1983,Frankreich,7.73
1983,Italien,6.31
1983,Österreich,6.80
1984,Schweiz,6.10
1984,Deutschland,13.30
1984,Frankreich,7.39
1984,Italien,6.40
1984,Österreich,7.13
1985,Schweiz,6.16
1985,Deutschland,13.43
1985,Frankreich,7.26
1985,Italien,6.47
1985,Österreich,7.14
1986,Schweiz,6.51
1986,Deutschland,13.46
1986,Frankreich,6.95
1986,Italien,6.36
1986,Österreich,7.05
1987,Schweiz,6.16
1987,Deutschland,13.23
1987,Frankreich,6.78
1987,Italien,6.66
1987,Österreich,7.51
1988,Schweiz,6.19
1988,Deutschland,13.13
1988,Frankreich,6.65
1988,Italien,6.76
1988,Österreich,6.91
1989,Schweiz,5.96
1989,Deutschland,12.87
1989,Frankreich,6.93
1989,Italien,7.09
1989,Österreich,6.99
1990,Schweiz,6.62
1990,Deutschland,13.31
1990,Frankreich,7.08
1990,Italien,7.70
1990,Österreich,8.06
1991,Schweiz,6.84
1991,Deutschland,12.76
1991,Frankreich,7.49
1991,Italien,7.70
1991,Österreich,8.48
1992,Schweiz,6.75
1992,Deutschland,12.08
1992,Frankreich,7.28
1992,Italien,7.68
1992,Österreich,7.72
1993,Schweiz,6.33
1993,Deutschland,11.89
1993,Frankreich,6.90
1993,Italien,7.54
1993,Österreich,7.70
1994,Schweiz,6.13
1994,Deutschland,11.62
1994,Frankreich,6.78
1994,Italien,7.43
1994,Österreich,7.70
1995,Schweiz,6.19
1995,Deutschland,11.57
1995,Frankreich,6.88
1995,Italien,7.89
1995,Österreich,8.04
1996,Schweiz,6.25
1996,Deutschland,11.79
1996,Frankreich,7.11
1996,Italien,7.77
1996,Österreich,8.44
1997,Schweiz,6.07
1997,Deutschland,11.44
1997,Frankreich,6.97
1997,Italien,7.86
1997,Österreich,8.40
1998,Schweiz,6.27
1998,Deutschland,11.34
1998,Frankreich,7.28
1998,Italien,8.05
1998,Österreich,8.34
1999,Schweiz,6.23
1999,Deutschland,11.01
1999,Frankreich,7.18
1999,Italien,8.13
1999,Österreich,8.15
2000,Schweiz,6.08
2000,Deutschland,11.06
2000,Frankreich,7.06
