year,label,value
1960,China,0.78
1960,USA,2.89
1960,EU28,2.65
1960,Andere,3.03
1961,China,0.55
1961,USA,2.88
1961,EU28,2.74
1961,Andere,3.19
1962,China,0.44
1962,USA,2.98
1962,EU28,2.90
1962,Andere,3.37
1963,China,0.44
1963,USA,3.12
1963,EU28,3.10
1963,Andere,3.60
1964,China,0.44
1964,USA,3.25
1964,EU28,3.22
1964,Andere,3.88
1965,China,0.47
1965,USA,3.39
1965,EU28,3.27
1965,Andere,4.14
1966,China,0.52
1966,USA,3.56
1966,EU28,3.33
1966,Andere,4.40
1967,China,0.43
1967,USA,3.69
1967,EU28,3.37
1967,Andere,4.69
1968,China,0.47
1968,USA,3.83
1968,EU28,3.55
1968,Andere,5.00
1969,China,0.58
1969,USA,4.02
1969,EU28,3.78
1969,Andere,5.33
1970,China,0.77
1970,USA,4.33
1970,EU28,3.95
1970,Andere,5.80
1971,China,0.87
1971,USA,4.35
1971,EU28,4.04
1971,Andere,6.18
1972,China,0.93
1972,USA,4.56
1972,EU28,4.15
1972,Andere,6.52
1973,China,0.97
1973,USA,4.76
1973,EU28,4.35
1973,Andere,6.94
1974,China,0.99
1974,USA,4.59
1974,EU28,4.29
1974,Andere,7.08
1975,China,1.14
1975,USA,4.40
1975,EU28,4.18
1975,Andere,7.19
1976,China,1.19
1976,USA,4.61
1976,EU28,4.47
1976,Andere,7.55
1977,China,1.30
1977,USA,4.74
1977,EU28,4.43
1977,Andere,7.84
1978,China,1.46
1978,USA,4.88
1978,EU28,4.56
1978,Andere,8.08
1979,China,1.49
1979,USA,4.89
1979,EU28,4.73
1979,Andere,8.37
1980,China,1.46
1980,USA,4.72
1980,EU28,4.63
1980,Andere,8.59
1981,China,1.44
1981,USA,4.53
1981,EU28,4.40
1981,Andere,8.49
1982,China,1.57
1982,USA,4.30
1982,EU28,4.29
1982,Andere,8.56
1983,China,1.66
1983,USA,4.34
1983,EU28,4.25
1983,Andere,8.66
1984,China,1.80
1984,USA,4.47
1984,EU28,4.26
1984,Andere,8.92
1985,China,1.95
1985,USA,4.48
1985,EU28,4.35
1985,Andere,9.36
1986,China,2.05
1986,USA,4.49
1986,EU28,4.35
1986,Andere,9.54
1987,China,2.19
1987,USA,4.68
1987,EU28,4.39
1987,Andere,9.83
1988,China,2.35
1988,USA,4.89
1988,EU28,4.34
1988,Andere,10.32
1989,China,2.39
1989,USA,4.95
1989,EU28,4.40
1989,Andere,10.50
1990,China,2.42
1990,USA,5.12
1990,EU28,4.47
1990,Andere,10.70
1991,China,2.54
1991,USA,5.07
1991,EU28,4.42
1991,Andere,11.16
1992,China,2.66
1992,USA,5.17
1992,EU28,4.27
1992,Andere,10.36
1993,China,2.84
1993,USA,5.28
1993,EU28,4.19
1993,Andere,10.41
1994,China,3.01
1994,USA,5.38
1994,EU28,4.17
1994,Andere,10.32
1995,China,3.27
1995,USA,5.44
1995,EU28,4.22
1995,Andere,10.45
1996,China,3.41
1996,USA,5.63
1996,EU28,4.32
1996,Andere,10.74
1997,China,3.41
1997,USA,5.70
1997,EU28,4.23
1997,Andere,10.89
1998,China,3.27
1998,USA,5.75
1998,EU28,4.23
1998,Andere,10.91
1999,China,3.26
1999,USA,5.83
1999,EU28,4.16
1999,Andere,11.21
2000,China,3.35
2000,USA,6.00
2000,EU28,4.18
2000,Andere,11.62
2001,China,3.43
2001,USA,5.90
2001,EU28,4.25
2001,Andere,11.78
2002,China,3.78
2002,USA,5.94
2002,EU28,4.23
2002,Andere,11.96
2003,China,4.45
2003,USA,5.99
2003,EU28,4.32
2003,Andere,12.40
2004,China,5.13
2004,USA,6.11
2004,EU28,4.33
2004,Andere,12.88
2005,China,5.77
2005,USA,6.13
2005,EU28,4.31
2005,Andere,13.19
2006,China,6.38
2006,USA,6.05
2006,EU28,4.31
2006,Andere,13.63
2007,China,6.86
2007,USA,6.13
2007,EU28,4.26
2007,Andere,14.03
2008,China,7.38
2008,USA,5.93
2008,EU28,4.16
2008,Andere,14.53
2009,China,7.76
2009,USA,5.49
2009,EU28,3.83
2009,Andere,14.45
2010,China,8.50
2010,USA,5.70
2010,EU28,3.94
2010,Andere,15.01
2011,China,9.39
2011,USA,5.57
2011,EU28,3.80
2011,Andere,15.51
2012,China,9.63
2012,USA,5.37
2012,EU28,3.74
2012,Andere,16.05
2013,China,9.80
2013,USA,5.52
2013,EU28,3.65
2013,Andere,15.99
2014,China,9.82
2014,USA,5.57
2014,EU28,3.48
2014,Andere,16.35
2015,China,9.72
2015,USA,5.42
2015,EU28,3.52
2015,Andere,16.58
2016,China,9.70
2016,USA,5.31
2016,EU28,3.50
2016,Andere,16.87
2017,China,9.84
2017,USA,5.27
2017,EU28,3.52
2017,Andere,17.18
2018,China,10.06
2018,USA,5.42
2018,EU28,3.44
2018,Andere,17.65
