year,sector,value
1990,Industrie,11.56
1990,Gebäude,17.10
1990,Verkehr,14.86
1990,Landwirtschaft,7.31
1990,Abfall,2.82
1991,Industrie,11.77
1991,Gebäude,18.46
1991,Verkehr,15.33
1991,Landwirtschaft,7.25
1991,Abfall,2.67
1992,Industrie,11.25
1992,Gebäude,18.50
1992,Verkehr,15.65
1992,Landwirtschaft,7.13
1992,Abfall,2.69
1993,Industrie,10.42
1993,Gebäude,17.89
1993,Verkehr,14.57
1993,Landwirtschaft,7.11
1993,Abfall,2.65
1994,Industrie,10.58
1994,Gebäude,16.61
1994,Verkehr,14.75
1994,Landwirtschaft,7.08
1994,Abfall,2.58
1995,Industrie,10.69
1995,Gebäude,17.65
1995,Verkehr,14.42
1995,Landwirtschaft,7.06
1995,Abfall,2.62
1996,Industrie,10.44
1996,Gebäude,18.50
1996,Verkehr,14.47
1996,Landwirtschaft,6.93
1996,Abfall,2.68
1997,Industrie,10.21
1997,Gebäude,17.07
1997,Verkehr,15.04
1997,Landwirtschaft,6.76
1997,Abfall,2.75
1998,Industrie,10.68
1998,Gebäude,17.89
1998,Verkehr,15.25
1998,Landwirtschaft,6.73
1998,Abfall,2.90
1999,Industrie,10.55
1999,Gebäude,17.22
1999,Verkehr,15.84
1999,Landwirtschaft,6.60
1999,Abfall,2.95
2000,Industrie,10.46
2000,Gebäude,16.12
2000,Verkehr,16.08
2000,Landwirtschaft,6.71
2000,Abfall,3.14
2001,Industrie,10.89
2001,Gebäude,17.47
2001,Verkehr,15.77
2001,Landwirtschaft,6.70
2001,Abfall,3.21
2002,Industrie,10.45
2002,Gebäude,16.33
2002,Verkehr,15.71
2002,Landwirtschaft,6.62
2002,Abfall,3.30
2003,Industrie,10.63
2003,Gebäude,17.30
2003,Verkehr,15.86
2003,Landwirtschaft,6.49
2003,Abfall,3.25
2004,Industrie,11.22
2004,Gebäude,17.17
2004,Verkehr,15.92
2004,Landwirtschaft,6.46
2004,Abfall,3.37
2005,Industrie,11.44
2005,Gebäude,17.40
2005,Verkehr,15.99
2005,Landwirtschaft,6.58
2005,Abfall,3.40
2006,Industrie,11.68
2006,Gebäude,16.54
2006,Verkehr,16.11
2006,Landwirtschaft,6.53
2006,Abfall,3.58
2007,Industrie,11.33
2007,Gebäude,14.69
2007,Verkehr,16.43
2007,Landwirtschaft,6.63
2007,Abfall,3.46
2008,Industrie,11.48
2008,Gebäude,15.57
2008,Verkehr,16.77
2008,Landwirtschaft,6.69
2008,Abfall,3.51
2009,Industrie,10.94
2009,Gebäude,15.15
2009,Verkehr,16.57
2009,Landwirtschaft,6.61
2009,Abfall,3.40
2010,Industrie,11.29
2010,Gebäude,16.33
2010,Verkehr,16.46
2010,Landwirtschaft,6.63
2010,Abfall,3.50
2011,Industrie,10.67
2011,Gebäude,13.14
2011,Verkehr,16.27
2011,Landwirtschaft,6.59
2011,Abfall,3.45
2012,Industrie,10.66
2012,Gebäude,14.39
2012,Verkehr,16.39
2012,Landwirtschaft,6.64
2012,Abfall,3.46
2013,Industrie,10.83
2013,Gebäude,15.27
2013,Verkehr,16.30
2013,Landwirtschaft,6.49
2013,Abfall,3.43
2014,Industrie,10.33
2014,Gebäude,11.86
2014,Verkehr,16.20
2014,Landwirtschaft,6.61
2014,Abfall,3.45
2015,Industrie,9.70
2015,Gebäude,12.72
2015,Verkehr,15.46
2015,Landwirtschaft,6.52
2015,Abfall,3.50
2016,Industrie,9.67
2016,Gebäude,13.18
2016,Verkehr,15.29
2016,Landwirtschaft,6.52
2016,Abfall,3.61
2017,Industrie,9.55
2017,Gebäude,12.59
2017,Verkehr,15.01
2017,Landwirtschaft,6.51
2017,Abfall,3.58
