year,value
1900,0.11
1901,0.05
1902,-0.09
1903,-0.17
1904,-0.21
1905,-0.07
1906,0.03
1907,-0.15
1908,-0.20
1909,-0.21
1910,-0.18
1911,-0.23
1912,-0.13
1913,-0.11
1914,0.07
1915,0.17
1916,-0.07
1917,-0.16
1918,-0.02
1919,0.04
1920,0.06
1921,0.12
1922,0.01
1923,0.04
1924,0.02
1925,0.10
1926,0.20
1927,0.10
1928,0.11
1929,-0.04
1930,0.17
1931,0.22
1932,0.17
1933,0.04
1934,0.18
1935,0.13
1936,0.16
1937,0.29
1938,0.31
1939,0.26
1940,0.33
1941,0.33
1942,0.28
1943,0.31
1944,0.46
1945,0.34
1946,0.24
1947,0.27
1948,0.27
1949,0.24
1950,0.14
1951,0.26
1952,0.34
1953,0.41
1954,0.18
1955,0.12
1956,0.04
1957,0.30
1958,0.36
1959,0.33
1960,0.26
1961,0.35
1962,0.33
1963,0.36
1964,0.09
1965,0.17
1966,0.24
1967,0.24
1968,0.20
1969,0.34
1970,0.28
1971,0.13
1972,0.25
1973,0.37
1974,0.10
1975,0.16
1976,0.07
1977,0.36
1978,0.25
1979,0.37
1980,0.40
1981,0.45
1982,0.32
1983,0.51
1984,0.30
1985,0.28
1986,0.36
1987,0.50
1988,0.51
1989,0.43
1990,0.61
1991,0.57
1992,0.42
1993,0.46
1994,0.52
1995,0.64
1996,0.49
1997,0.70
1998,0.85
1999,0.62
2000,0.61
2001,0.75
2002,0.81
2003,0.82
2004,0.76
2005,0.86
2006,0.82
2007,0.80
2008,0.71
2009,0.82
2010,0.87
2011,0.74
2012,0.78
2013,0.83
2014,0.89
2015,1.07
2016,1.11
2017,0.99
2018,0.91
2019,1.05
